"221-0004151              ","    ","LM339AM,COMPARATOR,14P                       ","IC-SMT  ","SO14    ","0.344","Active  ","BUY       "
"221-0004152              ","    ","LM555CM,TIMER,8P                             ","IC-SMT  ","SO8     ","0.23","Active  ","BUY       "
"225-0004153              ","    ","LMD18200T,BRIDGE DRIVER,11P                  ","IC-THT  ","DIP     ","7.84","Active  ","BUY       "
"221-0004154              ","    ","LM2907M,FREQ TO V Converter,8P               ","IC-SMT  ","SO8     ","0.00002","Active  ","BUY       "
"221-0004155              ","    ","LM3524DM,PWM,SWITCHER VERT,16P               ","IC-SMT  ","SO16    ","1.01","Active  ","BUY       "
"221-0004156              ","    ","OP90GS,OP AMP,8P                             ","IC-SMT  ","SO8     ","3.0751","Active  ","BUY       "
"101-0004158              ","    ","100K,1/4W,1%                                 ","RES-SMT ","1210    ","0.02","Active  ","BUY       "
"101-0004159              ","    ","240,1/4W,5%                                  ","RES-SMT ","1210    ","0.00002","Active  ","BUY       "
"101-0004160              ","    ","200K,1/10W,5%                                ","RES-SMT ","0805    ","0.002","Active  ","BUY       "
"101-0004161              ","    ","18K,1/10W,5%                                 ","RES-SMT ","0805    ","0.0018","Active  ","BUY       "
"101-0004162              ","    ","3.57K,1/4W,1%                                ","RES-SMT ","1210    ","0.026","Active  ","BUY       "
"101-0004163              ","    ","2.2K,1/2W,5%                                 ","RES-SMT ","2010    ","0.023","Active  ","BUY       "
"105-0004164              ","    ","150,SIP,BUSSED,8P                            ","RES-THT ","SIP     ","0.21","Active  ","BUY       "
"101-0004165              ","    ","100K,SIP,BUSSED,9P                           ","RES-SMT ","SIP     ","1.07","Active  ","BUY       "
"213-0004167              ","    ","2N7000,FET N-CH,60V,200MA                    ","XSTR-THT","TO92    ","0.05","Active  ","BUY       "
"421-0004168              ","    ","SPST,8POSITION,LEADED                        ","SWITCH  ","TOGGLE  ","0.00002","Active  ","BUY       "
"105-0004169              ","    ","3.3M,1/4W,5%,FILM                            ","RES-THT ","AXIAL   ","0.00002","Active  ","BUY       "
"105-0004170              ","    ","8.25K,1/4W,1%,FILM                           ","RES-THT ","AXIAL   ","0.0082","Active  ","BUY       "
"211-0004171              ","    ","2N7002LT1,FET N,60V,115MA                    ","XSTR-SMT","SOT23   ","0.12896","Active  ","BUY       "
"305-0004053              ","C   ","MCKESSON,246080,C,CAB DRAWER                 ","PCB-RAW ","PTH     ","0.00002","Active  ","BUY       "
"910-0004062              ","A   ","296293,SMALL SPINE,A                         ","FGI     ","PC-ASY  ","74.43826","Active  ","MAKE      "
"301-0004005              ","A   ","MCKESSON,246306,A,LED                        ","PCB-RAW ","SMT     ","0.4","Inactive","BUY       "
"101-0002699              ","    ","510,1/2W,5%                                  ","RES-SMT ","2010    ","0.025","Active  ","BUY       "
"101-0004174              ","    ","1.3K,1/2W,5%                                 ","RES-SMT ","2010    ","0.00002","Active  ","BUY       "
"515-0004022              ","    ","2P,1R,TERMINAL STRIP                         ","CON-THT ","HEADER  ","0.29","Active  ","BUY       "
"101-0004172              ","    ","150,1/2W,5%                                  ","RES-SMT ","2010    ","0.022","Active  ","BUY       "
"134-0004178              ","    ","0.1uF,100V,5%                                ","CAP-THT ","RADIAL  ","0.00001","Active  ","BUY       "
"134-0004179              ","    ","10uF,16V,20%                                 ","CAP-THT ","RADIAL  ","0.00001","Active  ","BUY       "
"134-0004180              ","    ","470uF,50V,20%                                ","CAP-THT ","RADIAL  ","0.00001","Active  ","BUY       "
"134-0004181              ","    ","220uF,50V,20%                                ","CAP-THT ","RADIAL  ","0.00001","Active  ","BUY       "
"121-0004182              ","    ","0.1uF,25V,CER,20%                            ","CAP-SMT ","1206    ","0.00001","Active  ","BUY       "
"134-0004183              ","    ","0.012uF,100V,5%                              ","CAP-THT ","RADIAL  ","0.00001","Active  ","BUY       "
"134-0004184              ","    ",".047uF,100V,Film,10%                         ","CAP-THT ","RADIAL  ","0.00001","Active  ","BUY       "
"121-0004186              ","    ","10uF,6.3V,TANT,20%                           ","CAP-SMT ","3528    ","0.00001","Active  ","BUY       "
"121-0004187              ","    ","0.1uF,50V,CER,20%                            ","CAP-SMT ","1206    ","0.00001","Active  ","BUY       "
"201-0004188              ","    ","MMBD914B,SWITCHING                           ","DIOD-SMT","SOT-23  ","0.00001","Active  ","BUY       "
"201-0004189              ","    ","1000V,1A                                     ","DIOD-SMT","SMD     ","0.00001","Active  ","BUY       "
"201-0004190              ","    ","ZENER,1W,15V                                 ","DIOD-SMT","DO-214AC","0.00001","Active  ","BUY       "
"201-0004191              ","    ","400V,3A                                      ","DIOD-SMT","DO-214AB","0.00001","Active  ","BUY       "
"201-0004192              ","    ","600V,1A,FAST RECOVERY                        ","DIOD-SMT","DO-214AC","0.00001","Active  ","BUY       "
"201-0004193              ","    ","20V,1A,SCHOTTKY                              ","DIOD-SMT","DO-214AC","0.00001","Active  ","BUY       "
"406-0004194              ","    ","250VAC,SOSKET,ROUND                          ","FUSE-THT","RADIAL  ","0.00001","Active  ","BUY       "
"515-0004195              ","    ","2P,1R,0.1"",SIP                               ","CON-THT ","HEADER  ","0.00001","Active  ","BUY       "
"515-0004196              ","    ","5p,1R,0.1"",SIP                               ","CON-THT ","HEADER  ","0.00001","Active  ","BUY       "
"515-0004197              ","    ","4p,1R,0.1"",SIP                               ","CON-THT ","HEADER  ","0.00001","Active  ","BUY       "
"515-0004198              ","    ","3p,1R,0.1"",SIP                               ","CON-THT ","HEADER  ","0.00001","Active  ","BUY       "
"225-0004199              ","    ","Inverted,Darlington,Driver                   ","IC-THT  ","DIP     ","0.00001","Active  ","BUY       "
